Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Prob%
1,Nikola Jokić,DEN,46,31,0.597,70,70,33.2,10,17.3,0.58,1.4,3.9,0.345,8.7,13.3,0.649,0.619,5.1,6.2,0.812,2.8,10.8,13.6,8,1.4,0.9,3.8,2.6,26.5,,42.20%
2,Giannis Antetokounmpo,MIL,47,28,0.627,62,62,32.8,10.3,18.6,0.552,1.1,3.6,0.301,9.2,14.9,0.613,0.582,8.3,11.5,0.722,2,9.7,11.6,5.8,1,1.5,3.2,3.2,29.9,,26.70%
3,Joel Embiid,PHI,46,29,0.613,62,62,33.5,9.5,19.4,0.489,1.4,3.7,0.364,8.1,15.7,0.519,0.524,9.5,11.7,0.816,2.1,9.3,11.4,4.3,1.2,1.4,3,2.7,29.9,,9.50%
4,Chris Paul,PHO,62,14,0.816,61,61,33,5.7,11.5,0.494,1,3.1,0.326,4.7,8.4,0.556,0.538,2.7,3.2,0.845,0.3,4.1,4.4,10.7,1.8,0.3,2.4,2,15,,7.00%
5,Luka Dončić,DAL,48,29,0.623,60,60,35.6,9.9,21.7,0.457,3.1,8.7,0.351,6.8,13,0.527,0.527,5.3,7.2,0.737,0.9,8.3,9.2,8.6,1.2,0.6,4.4,2.3,28.1,,3.30%
6,Ja Morant,MEM,54,23,0.701,56,56,33.3,10.2,20.8,0.493,1.5,4.5,0.34,8.7,16.3,0.535,0.53,5.6,7.3,0.762,1.3,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.6,,2.60%
7,Devin Booker,PHO,62,14,0.816,65,65,34.5,9.5,20.7,0.461,2.6,7,0.376,6.9,13.6,0.505,0.525,4.7,5.4,0.866,0.7,4.4,5,4.9,1.2,0.4,2.4,2.6,26.4,,2.60%
8,James Harden,PHI,46,29,0.613,59,59,37.2,6.5,15.5,0.416,2.3,6.9,0.337,4.1,8.6,0.478,0.491,7.4,8.5,0.874,0.8,7,7.8,10.1,1.3,0.6,4.4,2.5,22.6,,2.50%
9,Jimmy Butler,MIA,49,28,0.636,54,54,33.8,7,14.7,0.476,0.4,2,0.215,6.6,12.7,0.517,0.491,6.9,7.9,0.871,1.8,4.1,5.9,5.5,1.7,0.5,2.1,1.5,21.3,,2.00%
10,Deandre Ayton,PHO,62,14,0.816,55,55,29.6,7.6,11.9,0.638,0.1,0.3,0.353,7.5,11.6,0.645,0.642,1.9,2.5,0.752,2.6,7.6,10.1,1.4,0.7,0.7,1.6,2.4,17.2,,1.70%